13D Theme / Index,Index Weight in HC Ideas,Ticker,Name,Security Weight in Index,Security Weight in 13D Highest Conviction Portfolio
,,600690.SS,HAIER SMART HOME CO LTD-A,2.27%,0.11%
,,6690.HK,HAIER SMART HOME CO LTD-H,2.27%,0.11%
,,601398.SS,IND & COMM BK OF CHINA-A,2.27%,0.11%
,,1398.HK,IND & COMM BK OF CHINA-H,2.27%,0.11%
,,000333.SZ,MIDEA GROUP CO LTD-A,2.27%,0.11%
,,0300.HK,Midea Group Co. Ltd. Class H,2.27%,0.11%
,,601658.SS,POSTAL SAVINGS BANK OF CHI-A,2.27%,0.11%
,,1658.HK,POSTAL SAVINGS BANK OF CHI-H,2.27%,0.11%
13D Copper Strategy,5.00%,ATX.V,ATEX RESOURCES INC,37.50%,1.88%
,,FOM.TO,FORAN MINING CORP,37.50%,1.88%
,,COPX,Global X Copper Miners ETF,25.00%,1.25%
13D Critical Minerals Index,5.00%,600111.SS,CHINA NORTHERN RARE EARTH -A,14.29%,0.71%
,,000831.SZ,"China Rare Earth Resources And Technology Co., Ltd. Class A",14.29%,0.71%
,,LYC.AX,Lynas Rare Earths Limited,14.29%,0.71%
,,MND.TO,Mandalay Resources Corporation,14.29%,0.71%
,,MP,MP Materials Corp Class A,14.29%,0.71%
,,SXGC.V,Southern Cross Gold Consolidated Ltd.,14.29%,0.71%
,,600549.SS,Xiamen Tungsten Co. Ltd. Class A,14.29%,0.71%
13D Defense Index,4.00%,AVAV,AEROVIRONMENT INC,7.69%,0.31%
,,BA.L,BAE SYSTEMS PLC,7.69%,0.31%
,,ESLT.TA,Elbit Systems Ltd,7.69%,0.31%
,,FTNT,FORTINET INC,7.69%,0.31%
,,KTOS,"Kratos Defense & Security Solutions, Inc.",7.69%,0.31%
,,LHX,L3HARRIS TECHNOLOGIES INC,7.69%,0.31%
,,LMT,LOCKHEED MARTIN CORP,7.69%,0.31%
,,NOC,NORTHROP GRUMMAN CORP,7.69%,0.31%
,,PLTR,PALANTIR TECHNOLOGIES INC-A,7.69%,0.31%
,,PANW,PALO ALTO NETWORKS INC,7.69%,0.31%
,,RCAT,Red Cat Holdings Inc,7.69%,0.31%
,,RTX,RTX CORP,7.69%,0.31%
,,SKM,SK TELECOM CO LTD-SPON ADR,7.69%,0.31%
13D Food Security Index,9.20%,AGCO,AGCO CORP,7.14%,0.66%
,,ADM,ARCHER-DANIELS-MIDLAND CO,7.14%,0.66%
,,BAYN.DE,BAYER AG-REG,7.14%,0.66%
,,BG,BUNGE GLOBAL SA,7.14%,0.66%
,,CF,CF INDUSTRIES HOLDINGS INC,7.14%,0.66%
,,CTVA,CORTEVA INC,7.14%,0.66%
,,DE,DEERE & CO,7.14%,0.66%
,,FERTIGLB UH Equity,FERTIGLOBE PLC,7.14%,0.66%
,,GNC.AX,GRAINCORP LTD-A,7.14%,0.66%
,,LNN,LINDSAY CORP,7.14%,0.66%
,,MOS,MOSAIC CO/THE,7.14%,0.66%
,,NTR.TO,NUTRIEN LTD,7.14%,0.66%
,,SLCE3.SA,SLC AGRICOLA SA,7.14%,0.66%
,,YAR.OL,YARA INTERNATIONAL ASA,7.14%,0.66%
13D Gold High Growth Acquisition (HGAX) Index,6.90%,SXGC.V,Southern Cross Gold Consolidated Ltd.,40.86%,2.82%
,,OLA.TO,ORLA MINING LTD,7.94%,0.55%
,,WDO.TO,WESDOME GOLD MINES LTD,7.94%,0.55%
,,MFL.V,MAWSON FINLAND LTD,7.50%,0.52%
